id,actif,poste,ville,departement,region,lieux_poste,etablissements,finess,date_parution,mois_parution,annee_parution,categorie,type_structure,type_etablissement,latitude,longitude,latitude_finess,longitude_finess,qualite_coordonnees,source_coordonnees,source,observations,texte_source_poste,raison_sociale_finess,qualite_appariement_finess
1,Oui,Directeur / directrice,Aix-Villemaur-Pâlis,Aube,Grand Est,Aix-Villemaur-Pâlis,EHPAD d’Aix-Villemaur-Pâlis (ex Aix-en-Othe) (Aube),100001445,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,48.22297952384901,3.733403582067805,48.22297952384901,3.733403582067805,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,SELARL PHARMACIE D'AIX,FINESS fourni
2,Oui,Directeur / directrice,Donzy,Nièvre,Bourgogne-Franche-Comté,Donzy,EHPAD de Donzy (Nièvre),580971299,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,47.37121982273035,3.1208373173066675,47.37121982273035,3.1208373173066675,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD LES JARDINS DES LAIGNES,FINESS fourni
3,Oui,Directeur / directrice,Cloyes-les-Trois-Rivières,Eure-et-Loir,Centre-Val de Loire,Cloyes-les-Trois-Rivières,EHPAD de Cloyes-les-Trois-Rivières (Eure-et-Loir),280005778,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,48.00270492142698,1.2243450083209986,48.00270492142698,1.2243450083209986,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD RESIDENCE DU BOIS DE LA ROCHE,FINESS fourni
4,Oui,Directeur / directrice,Chalus,Haute-Vienne,Nouvelle-Aquitaine,Chalus,EHPAD de Chalus et de Nexon (Haute-Vienne),870003787,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,45.661554109304205,0.982437999509718,45.661554109304205,0.982437999509718,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD RESIDENCE LE NID,FINESS fourni
5,Oui,Directeur / directrice,Mulhouse,Haut-Rhin,Grand Est,Mulhouse,EHPAD de Mulhouse et de Rieddisheim (Haut-Rhin),680002276,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,47.753693281812986,7.340036828785907,47.753693281812986,7.340036828785907,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD BETHESDA MULHOUSE,FINESS fourni
6,Oui,Directeur / directrice,Saint-Trivier-de-Courtes,Ain,Auvergne-Rhône-Alpes,Saint-Trivier-de-Courtes,EHPAD de Saint-Trivier-de-Courtes (Ain),010007425,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,46.457801682162696,5.078020538943004,46.457801682162696,5.078020538943004,Coordonnées FINESS géolocalisées,"2,ATLASANTE,91,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,SSIAD EHPAD SAINT-TRIVIER-DE-COURTES,FINESS fourni
7,Oui,Directeur / directrice,Saint-Sauveur-le-Vicomte,Manche,Normandie,Saint-Sauveur-le-Vicomte,EHPAD de Saint-Sauveur-le-Vicomte (Manche),500002852,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,49.38741039516744,-1.5317634416713195,49.38741039516744,-1.5317634416713195,Coordonnées FINESS géolocalisées,"3,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD LES LICES-ST SAUVEUR LE VICOMTE,FINESS fourni
8,Oui,Directeur / directrice,Yerre,Eure-et-Loir,Centre-Val de Loire,Yerre,EHPAD du Val d’Yerre (ex : Courtalain) (Eure-et-Loir),280504168,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,48.437785155166615,1.4946443002671606,48.437785155166615,1.4946443002671606,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD VAL DE L EURE,FINESS fourni
9,Oui,Directeur / directrice,Loué,Sarthe,Pays de la Loire,Loué,EHPAD de Loué (Sarthe),720002104,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,47.99644101984434,-0.1460393021061252,47.99644101984434,-0.1460393021061252,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD DE LOUE,FINESS fourni
10,Oui,Directeur / directrice,La Souterraine,Creuse,Nouvelle-Aquitaine,La Souterraine,Centre hospitalier de proximité à La Souterraine (Creuse),230000960,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Sanitaire,Établissement sanitaire,46.235562692237934,1.4808551600138509,46.235562692237934,1.4808551600138509,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,CTRE HOSPITAL MOYEN SEJOUR SOUTERRAINE,FINESS fourni
11,Oui,Directeur / directrice,Non renseigné,Martinique,Martinique,Martinique,EHPAD du Robert (Martinique),970211363,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,14.605029009456157,-61.06909535691014,14.605029009456157,-61.06909535691014,Coordonnées FINESS géolocalisées,"2,ATLASANTE,84,IGN,BD_ADRESSE,V2.2,UTM_N20",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD CENTRE EMMA VENTURA,FINESS fourni
12,Oui,Directeur / directrice,Nedonchel,Pas-de-Calais,Hauts-de-France,Nedonchel,EHPAD de Nedonchel (Pas-de-Calais),620101949,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,50.52646545287936,2.359430807918245,50.52646545287936,2.359430807918245,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD DE NEDONCHEL,FINESS fourni
13,Oui,Directeur / directrice,Longvic,Côte-d’Or,Bourgogne-Franche-Comté,Longvic,EHPAD de Longvic (Côte-d’Or),210985362,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,47.297578712116035,5.052678134182358,47.297578712116035,5.052678134182358,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD MARCEL JACQUELINET,FINESS fourni
14,Oui,Directeur / directrice,Toucy,Yonne,Bourgogne-Franche-Comté,Toucy,EHPAD de Toucy (Yonne),890002215,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,47.74071437864667,3.302152542206815,47.74071437864667,3.302152542206815,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD TOUCY DE LA CROIX DES VIGNES,FINESS fourni
15,Oui,Directeur / directrice,Mer,Loir-et-Cher,Centre-Val de Loire,Mer,EHPAD de Mer (Loir-et-Cher),410002109,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,47.711040065701845,1.5010888765100514,47.711040065701845,1.5010888765100514,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD SIMON HEME,FINESS fourni
16,Oui,Directeur / directrice,Vernoux en Vivarais,Ardèche,Auvergne-Rhône-Alpes,Vernoux en Vivarais,EHPAD de Vernoux en Vivarais (Ardèche),070784624,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,44.89324016004587,4.64446789702857,44.89324016004587,4.64446789702857,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD RESIDENCE BEAUREGARD DE VERNOUX,FINESS fourni
17,Oui,Directeur / directrice,Montmirail,Sarthe,Pays de la Loire,Montmirail,EHPAD de Montmirail (Sarthe),720002146,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,48.10203003860961,0.790272599259597,48.10203003860961,0.790272599259597,Coordonnées FINESS géolocalisées,"2,ATLASANTE,87,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD L'ARC EN CIEL,FINESS fourni
18,Oui,Directeur / directrice,Bussière-Dunoise,Creuse,Nouvelle-Aquitaine,Bussière-Dunoise,EHPAD de Bussière-Dunoise (Creuse),230781676,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,46.260065557352135,1.7576408071003058,46.260065557352135,1.7576408071003058,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,EHPAD RESIDENCE PIERRE GUILBAUD,FINESS fourni
19,Oui,Directeur / directrice,Verzenay,Marne,Grand Est,Verzenay,EHPAD de Verzenay (Marne),510000110,2025-09-05 00:00:00,9,2025,Poste réservé aux élèves directeurs,Médico-social,EHPAD autonome,49.15924011416108,4.145776455257584,49.15924011416108,4.145776455257584,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf05092025ed3schefferie,Non renseigné,Non renseigné,"EHPAD ""FONDATION DUCHATEL""",FINESS fourni
